product_name,price,brand
"Lemonade - Strawberry, 591 Ml",543.55,Muxo
Pork - Inside,129.54,Katz
Icecream - Dstk Super Cone,356.95,Linktype
Bread - Rye,488.1,Yambee
Cheese - Goat,486.83,Wikivu
Muffin - Carrot Individual Wrap,797.03,Livefish
Red Cod Fillets - 225g,351.97,Flipbug
Cucumber - English,295.69,Feedmix
Nantucket - 518ml,498.33,Minyx
Haggis,63.82,Realbuzz
Veal - Liver,118.31,Oozz
Pork - Shoulder,701.02,Livepath
"Leeks - Baby, White",107.72,Janyx
Eggplant Italian,266.54,Yakidoo
Onions Granulated,680.75,Realbridge
Pails With Lids,902.92,Viva
Mints - Striped Red,461.68,Skinder
Sobe - Green Tea,947.53,Jabbercube
Water - Spring Water 500ml,672.5,Youspan
Venison - Denver Leg Boneless,332.8,Skivee
Cranberries - Fresh,775.63,Devshare
Soup - Campbells Broccoli,332.1,Feedfire
Muffin Mix - Lemon Cranberry,827.96,Dabtype
Lemons,146.85,Blogspan
Silicone Paper 16.5x24,688.25,Quatz
Soup - Campbells Mushroom,712.8,Dynava
Banana Turning,842.44,Fatz
"Salmon - Atlantic, Skin On",555.77,Yotz
"Mushroom - Morels, Dry",706.83,Dabjam
Coriander - Seed,917.78,Zoomcast
"Juice - V8, Tomato",163.05,Chatterbridge
"Halibut - Whole, Fresh",318.7,Blognation
Carbonated Water - Lemon Lime,163.14,Muxo
"Bread - Multigrain, Loaf",718.52,Quatz
Longos - Greek Salad,577.61,Mydo
Tamarind Paste,789.24,Yadel
"Asparagus - White, Canned",756.71,Topiczoom
"Crab - Claws, 26 - 30",126.53,Thoughtstorm
Leeks - Large,316.85,Skipstorm
Shrimp - Black Tiger 6 - 8,546.1,Youspan
Pizza Pizza Dough,675.19,Skidoo
Pepper - Roasted Red,691.88,Tagfeed
"Brownies - Two Bite, Chocolate",588.35,Ozu
"Doilies - 10, Paper",760.18,Yadel
Yokaline,581.71,Rhyzio
Cheese - La Sauvagine,475.46,Rhyzio
Sauce - Roasted Red Pepper,239.31,Quaxo
"Potatoes - Purple, Organic",115.68,Rhynyx
"Nut - Walnut, Pieces",959.15,Zazio
"Chicken - Thigh, Bone In",963.26,Mynte
Wine - Segura Viudas Aria Brut,190.17,Zoozzy
Wine - Chateau Timberlay,460.45,Voolia
"Nut - Almond, Blanched, Whole",705.6,Plajo
Macaroons - Two Bite Choc,842.12,Quinu
Poppy Seed,665.3,Voonix
"Wine - White, Ej",791.21,Skalith
Oil - Olive Bertolli,947.32,InnoZ
Triple Sec - Mcguinness,622.19,Lazzy
Spice - Chili Powder Mexican,177.07,Tekfly
Truffle - Peelings,409.73,Bluezoom
Extract - Lemon,369.96,Yotz
Rice - Brown,801.8,Chatterbridge
Jack Daniels,572.93,Abata
Energy Drink - Franks Original,762.54,Mita
Magnotta - Bel Paese White,659.93,Dabtype
Chutney Sauce - Mango,917.65,Mymm
"Sauce - Gravy, Au Jus, Mix",904.86,Jazzy
"Salmon - Atlantic, No Skin",496.52,Vidoo
Ham Black Forest,591.39,Wordtune
Cucumber - English,479.82,Rhybox
Table Cloth 53x69 White,19.07,Topicstorm
"Cheese - Manchego, Spanish",212.19,Jaxbean
"Pork - Tenderloin, Fresh",531.69,Aimbu
Pepper - Yellow Bell,642.72,Edgeblab
"Pork - Back, Short Cut, Boneless",737.5,Twitterworks
Pastry - Banana Muffin - Mini,926.26,Blogtag
Wine - Magnotta - Cab Sauv,833.36,Topiclounge
Peppercorns - Green,945.65,Chatterbridge
Pie Shells 10,193.09,Yabox
Soup Campbells - Italian Wedding,438.71,Rhynoodle
"Cheese - Cheddar, Old White",277.66,Youopia
"Crab - Dungeness, Whole, live",678.11,Abatz
"Napkin - Dinner, White",701.85,Zooxo
Bar Bran Honey Nut,660.41,Vimbo
Wine - Casillero Del Diablo,859.88,Jayo
Ecolab - Ster Bac,315.12,Quinu
Poppy Seed,615.56,Dabjam
"Roe - Lump Fish, Red",269.23,Meejo
Sobe - Green Tea,364.62,Jetwire
Chocolate - Chips Compound,391.74,Photospace
Bar Bran Honey Nut,160.59,Vipe
Savory,525.44,Realpoint
"Mushroom - Shitake, Dry",201.61,Wordify
Lotus Rootlets - Canned,723.98,Dynava
Towel Dispenser,496.19,Dabfeed
Eel Fresh,614.48,Feedmix
Cherries - Frozen,281.57,Flipstorm
Seabream Whole Farmed,347.18,Thoughtbeat
"Stock - Beef, White",78.98,Photobean
Cactus Pads,502.69,Fivespan
Pastry - Trippleberry Muffin - Mini,310.42,Jaxworks
Bread Base - Goodhearth,437.97,Yakijo
Onions Granulated,267.15,Aibox
Puff Pastry - Slab,284.3,BlogXS
Longos - Grilled Veg Sandwiches,286.09,Livetube
Hand Towel,567.98,Yambee
"Trout - Hot Smkd, Dbl Fillet",286.4,Photospace
Nougat - Paste / Cream,50.62,Quinu
"Schnappes - Peach, Walkers",279.98,Eadel
"Butter - Salted, Micro",179.25,Youtags
Cheese - La Sauvagine,580.07,Feedmix
"Crab - Back Fin Meat, Canned",906.63,Avamba
Fireball Whisky,784.22,Avavee
Cream Of Tartar,539.7,Trunyx
Pastry - Banana Muffin - Mini,857.74,Zooveo
Pepper - Roasted Red,595.28,Zooveo
Couscous,484.18,Rhyzio
Bread Crumbs - Japanese Style,491.41,Babblestorm
Red Pepper Paste,576.06,Yambee
Ice Cream - Life Savers,242.01,Wikivu
Sprouts - Brussel,914.39,Skipstorm
Wine - Sogrape Mateus Rose,259.3,Agivu
"Mushroom - Shitake, Fresh",889.02,Realcube
"Lamb - Whole Head Off,nz",132.41,Tagpad
"Beer - Alexander Kieths, Pale Ale",799.99,Kwideo
Wakami Seaweed,623.93,Innotype
Wine - Muscadet Sur Lie,634.81,Reallinks
Wine - Remy Pannier Rose,217.95,Mydeo
Dc - Frozen Momji,604.07,Meetz
Plums - Red,913.98,Wikivu
Table Cloth - 53x69 Colour,581.07,Zazio
Tandoori Curry Paste,183.53,Realbridge
Venison - Denver Leg Boneless,773.62,Divape
Couscous,764.85,Wikizz
Pork - Belly Fresh,117.98,Yodoo
Bok Choy - Baby,533.75,Roombo
Ginger - Fresh,571.56,Skynoodle
Eggplant - Baby,59.5,Eadel
Honey - Liquid,995.48,Skimia
Onions - White,716.48,Voonder
Beef - Eye Of Round,740.19,Trudoo
Clams - Bay,377.82,Gigazoom
Arctic Char - Fillets,400.09,Quatz
Oven Mitts 17 Inch,919.01,Oloo
Energy Drink Red Bull,866.33,Oloo
Chicken - Wieners,195.2,Twitternation
Red Currants,38.05,Devpoint
Table Cloth 53x53 White,714.8,Rhyloo
"Veal - Brisket, Provimi, Bone - In",205.25,Dazzlesphere
"Lettuce - Mini Greens, Whole",785.8,Realmix
Nantucket - Pomegranate Pear,148.39,Jaxworks
"Pasta - Detalini, White, Fresh",728.5,Twiyo
Latex Rubber Gloves Size 9,22.25,Gabtype
Buttons,159.22,Wordify
"Oregano - Dry, Rubbed",73.58,Twimbo
Waffle Stix,874.93,Kanoodle
"Crab - Blue, Frozen",675.91,Youspan
Plasticknivesblack,254.83,Youspan
Oil - Sesame,935.62,Mymm
Beef - Top Sirloin - Aaa,55.22,Oozz
Tequila Rose Cream Liquor,421.27,Skiba
The Pop Shoppe - Black Cherry,478.44,Miboo
Spring Roll Wrappers,624.21,Thoughtworks
"Ice - Clear, 300 Lb For Carving",523.68,Geba
Miso Paste White,739.51,Rhynyx
Wine - White Cab Sauv.on,812.7,Voomm
Foam Dinner Plate,217.89,Shuffletag
Raisin - Dark,365.81,Muxo
Salt And Pepper Mix - White,249.76,Gabvine
Ecolab Digiclean Mild Fm,726.48,Shuffletag
Island Oasis - Strawberry,925.62,Brainlounge
Alize Sunset,545.83,Bubbletube
"Crab - Blue, Frozen",240.27,Jabbersphere
Pork - Sausage Casing,998.71,Youtags
Sobe - Lizard Fuel,216.17,InnoZ
Roe - White Fish,507.3,Jabberstorm
Beer - Tetleys,48.46,Thoughtstorm
"Pork - Loin, Boneless",961.37,Wikizz
"Chicken - Diced, Cooked",780.63,Avaveo
Potatoes - Yukon Gold 5 Oz,253.68,Kwilith
Petite Baguette,687.07,Lajo
Olives - Morracan Dired,887.88,Skinte
Coffee - Irish Cream,533.87,DabZ
Muffin Batt - Choc Chk,116.69,Demizz
Beef - Texas Style Burger,430.74,Zoomzone
Port - 74 Brights,996.07,Livetube
Wine - Prem Select Charddonany,117.01,Edgeblab
Beef - Cow Feet Split,755.79,Photobug
"Pepsi, 355 Ml",377.32,Gabtype
Rosemary - Dry,178.48,Thoughtsphere
Bread Base - Italian,585.99,Topiczoom
Pickles - Gherkins,988.69,Topdrive
Milk Powder,514.99,Tavu
Breadfruit,296.64,Quimm
Apple - Northern Spy,374.88,Devpulse
"Wine - Red, Harrow Estates, Cab",399.97,Flashdog
Beer - Tetleys,804.08,Jaxspan
Tilapia - Fillets,672.52,Jamia
Corn - Mini,624.4,Thoughtbeat
Sauce - Marinara,501.17,Zooveo
Potatoes - Yukon Gold 5 Oz,450.37,Fliptune
Cheese Cloth,605.07,Youbridge
Toamtoes 6x7 Select,454.12,Blogspan
Coffee - Egg Nog Capuccino,593.73,Feedmix
Flower - Dish Garden,859.75,Riffpedia
Tray - 12in Rnd Blk,963.21,Skipfire
"Placemat - Scallop, White",454.97,Ainyx
Pork - Belly Fresh,542.33,Thoughtstorm
Cheese - Bakers Cream Cheese,703.32,Skimia
Muffin Mix - Raisin Bran,684.6,Flashpoint
Beef - Tender Tips,937.21,Reallinks
Cleaner - Bleach,605.06,Zoombeat
Mushroom - Portebello,957.19,Realcube
Hipnotiq Liquor,138.62,Voonix
Carbonated Water - Raspberry,642.93,Wordpedia
Bread - Olive Dinner Roll,25.69,Feedbug
Oneshot Automatic Soap System,213.23,Avaveo
Chickhen - Chicken Phyllo,551.79,Chatterpoint
Clam - Cherrystone,843.93,Bluezoom
Garam Masala Powder,174.18,Quimm
Sponge Cake Mix - Chocolate,904.59,Roodel
Vinegar - Sherry,862.75,Midel
"Crab - Claws, 26 - 30",385.64,Edgetag
"Juice - Pineapple, 48 Oz",408.33,Meedoo
Cut Wakame - Hanawakaba,822.39,Aimbo
Bread - Wheat Baguette,362.75,Edgepulse
Yeast Dry - Fermipan,964.88,Wikido
Chicken - Leg / Back Attach,456.88,Divavu
Steam Pan - Half Size Deep,515.43,Babblestorm
Gatorade - Xfactor Berry,644.31,Skajo
Beef - Tenderloin,439.18,Blogtag
"Wine - Red, Cabernet Merlot",873.64,Skilith
"Potatoes - Yukon Gold, 80 Ct",393.13,Photolist
Graham Cracker Mix,933.47,Avamm
Vacuum Bags 12x16,449.0,Kazu
Wine - Sicilia Igt Nero Avola,289.59,Shufflebeat
Veal - Insides Provini,218.46,Ozu
Cheese - Stilton,169.09,Yotz
Bread - Corn Muffaleta Onion,294.63,Leexo
"Tortillas - Flour, 12",436.11,Photobean
Toothpick Frilled,644.44,Zoonder
Brandy Apricot,606.96,Dabjam
Potatoes - Yukon Gold 5 Oz,366.23,Edgeify
Carrots - Jumbo,417.89,Plambee
"Lamb - Pieces, Diced",634.5,Skiptube
Sugar - Monocystal / Rock,306.55,Tambee
Soup - Campbells - Tomato,64.17,Blogspan
Bread Crumbs - Japanese Style,930.11,Tazzy
Miso Paste White,91.44,Babblestorm
Lobster - Tail 6 Oz,87.68,InnoZ
Shrimp - Black Tiger 26/30,792.1,Snaptags
"Pasta - Fettuccine, Egg, Fresh",887.64,Skynoodle
"Potatoes - Instant, Mashed",905.29,Voomm
"Soup - Beef, Base Mix",108.99,Vimbo
Wine - Masi Valpolocell,254.08,Aibox
Juice - Lime,135.53,Oba
Bar - Granola Trail Mix Fruit Nut,99.61,Devcast
Curry Paste - Green Masala,265.15,Plambee
Eel Fresh,364.81,Fanoodle
Wine - Red Oakridge Merlot,214.17,Twitternation
"Shrimp - 16/20, Iqf, Shell On",661.91,Wikizz
Brandy Cherry - Mcguinness,206.88,Ainyx
Cup - Paper 10oz 92959,240.26,Skynoodle
"Juice - Orange, Concentrate",796.34,Browsetype
Tray - 16in Rnd Blk,688.55,Tagopia
Cheese - Le Cru Du Clocher,387.47,Lazzy
"Cheese - Manchego, Spanish",51.56,Plambee
Cheese - Feta,761.39,Mynte
Gatorade - Lemon Lime,980.94,Babbleset
"Lobster - Baby, Boiled",790.06,Rhynyx
Caviar - Salmon,938.62,Zoomzone
Bread Roll Foccacia,212.3,Einti
Rappini - Andy Boy,945.95,Tagchat
Savory,33.87,Quimba
Star Fruit,7.67,Meezzy
Pur Source,15.71,Abatz
Browning Caramel Glace,954.67,Midel
Pepperoni Slices,216.64,Realblab
Wine - Chardonnay South,641.51,Shuffledrive
Juice - V8 Splash,240.59,Edgeblab
Pastry - French Mini Assorted,245.4,Kwimbee
Cilantro / Coriander - Fresh,315.41,Vinte
Water - Spring 1.5lit,246.06,Minyx
Longos - Greek Salad,203.14,Meedoo
"Tart Shells - Sweet, 4",4.16,Dynava
Wine - Spumante Bambino White,76.67,Realcube
Pepper - Red Bell,576.62,Twitternation
Longos - Assorted Sandwich,279.71,Topiczoom
Cheese - Comtomme,614.26,Digitube
"Salt - Rock, Course",850.28,Brainverse
"Pork - Back, Short Cut, Boneless",989.75,Pixoboo
Sprite - 355 Ml,516.54,Brightbean
"Mushroom - Shitake, Fresh",100.03,Tagopia
Pie Pecan,575.26,Minyx
Table Cloth 72x144 White,856.07,Skyvu
Ecolab - Hand Soap Form Antibac,532.06,Riffwire
Bread - Kimel Stick Poly,966.25,Oodoo
"Lamb - Leg, Boneless",328.89,Jaxspan
Aspic - Amber,794.45,Jayo
Dried Figs,271.25,Realfire
Stock - Fish,502.86,Feedbug
"Soup - Campbells, Spinach Crm",301.0,Divanoodle
Flour - Strong,506.51,Yambee
Praline Paste,975.31,Jaxbean
Wine - Lamancha Do Crianza,882.61,Bluejam
Blueberries,907.08,Oozz
"Salmon - Atlantic, Fresh, Whole",88.41,Zooxo
Catfish - Fillets,448.91,Meevee
Cheese - Perron Cheddar,512.36,Browsezoom
Tequila - Sauza Silver,689.39,Brainsphere
Oil - Olive Bertolli,316.21,Innotype
Lettuce - Green Leaf,409.83,Wikido
Pineapple - Golden,114.05,Skyndu
Curry Powder,589.92,Aimbu
Longos - Grilled Salmon With Bbq,629.15,Livetube
Cheese - Le Cheve Noir,418.05,Rhyloo
Heavy Duty Dust Pan,546.42,Devshare
Coffee - Flavoured,767.77,Twimm
Chocolate - Chips Compound,429.6,Photofeed
"Wine - Red, Lurton Merlot De",126.1,Buzzdog
Spice - Peppercorn Melange,433.82,Blognation
"Zucchini - Mini, Green",778.65,Quimba
"Lobster - Baby, Boiled",970.67,Zazio
Longos - Grilled Chicken With,518.8,Meeveo
Wine - Cotes Du Rhone,911.45,Jetwire
"Artichoke - Bottom, Canned",956.2,Lazz
"Beef - Bones, Marrow",268.74,Skyvu
"Chicken - White Meat, No Tender",856.19,Flashpoint
Vinegar - Cider,397.05,Zooxo
Soup - Campbells Bean Medley,271.95,Fliptune
Soup Campbells - Italian Wedding,848.79,Jaxspan
Kellogs Cereal In A Cup,379.69,Eadel
Danishes - Mini Raspberry,508.44,Roombo
Curry Paste - Madras,882.22,Tazzy
Corn Syrup,524.52,Gabtype
Beer - Blue,691.95,Kayveo
Sprouts - Bean,846.21,Yadel
"Nut - Almond, Blanched, Ground",889.16,Yodoo
Fruit Mix - Light,661.49,Ooba
Tofu - Soft,324.13,Pixoboo
Langers - Mango Nectar,261.11,Dabfeed
Longos - Lasagna Beef,670.28,Topicblab
Puree - Blackcurrant,187.4,Jaxworks
Chocolate Bar - Reese Pieces,317.64,Reallinks
"Nut - Pine Nuts, Whole",714.62,Zoomzone
Beer - Upper Canada Light,377.25,Divanoodle
Tamarind Paste,492.75,Skimia
Thermometer Digital,113.58,Dabfeed
Lighter - Bbq,937.22,Skivee
"Spoon - Soup, Plastic",529.16,Yabox
Coffee Guatemala Dark,919.82,Gabtype
"Fish - Artic Char, Cold Smoked",874.88,Oyonder
Wine - Zonnebloem Pinotage,719.36,Oyope
Rice - Sushi,876.5,Oloo
Beer - Fruli,733.47,Photofeed
Pepper - Scotch Bonnet,552.71,Gabtype
Beets,424.76,Gabtype
Sprouts Dikon,796.84,Gevee
Scotch - Queen Anne,372.84,Avaveo
Chocolate - Semi Sweet,617.15,Kanoodle
Compound - Orange,362.95,Thoughtbeat
Juice - Ocean Spray Kiwi,886.78,Katz
Coriander - Ground,608.58,Wordtune
Tea - Herbal - 6 Asst,451.85,Oba
Puree - Blackcurrant,598.19,DabZ
Tomatoes - Heirloom,101.34,Roodel
Lettuce - Lolla Rosa,892.58,Oyope
Cinnamon Buns Sticky,665.4,Gabcube
"Wine - Magnotta, Merlot Sr Vqa",555.59,Thoughtbeat
Savory,983.2,Photofeed
Tumeric,75.48,Kanoodle
Spring Roll Wrappers,314.92,Topicshots
Milk - Skim,291.0,Tazz
Sole - Fillet,983.45,Zoomdog
Juice - Orangina,639.55,Realbridge
"Lettuce - Mini Greens, Whole",708.62,Kare
Shrimp - Black Tiger 26/30,855.61,Realmix
Milk - Buttermilk,619.4,Tavu
"Veal - Shank, Pieces",85.66,Realcube
Rice Wine - Aji Mirin,809.65,Dynabox
Ecolab Digiclean Mild Fm,952.02,Npath
Salt - Seasoned,557.45,Avavee
"Quail - Whole, Boneless",13.11,Devshare
"Pepper - Chipotle, Canned",45.08,Dynabox
Goldschalger,424.55,Zoonoodle
Pimento - Canned,616.45,Brainlounge
Eggroll,116.58,Skippad
Red Cod Fillets - 225g,3.85,Aibox
"Wine - Harrow Estates, Vidal",277.57,Shuffletag
Onions - Cooking,985.78,Photobug
Kolrabi,330.54,Oyoba
Schnappes Peppermint - Walker,161.82,Trilith
Oil - Safflower,186.2,Gabvine
Crackers - Graham,143.23,Twiyo
Ecolab Digiclean Mild Fm,231.95,Leenti
"Red Snapper - Fillet, Skin On",970.42,Kanoodle
Veal - Knuckle,35.79,Thoughtbeat
Cheese - Camembert,918.86,Skinte
Potatoes - Idaho 100 Count,508.86,Tagfeed
Yams,706.84,Aivee
Honey - Lavender,174.24,Flashdog
Appetizer - Assorted Box,504.0,Twitterbeat
Sauce Bbq Smokey,292.7,Shufflebeat
Soup - Verve - Chipotle Chicken,247.15,Dabtype
Pastry - Lemon Danish - Mini,337.89,Gigazoom
"Turkey - Whole, Fresh",338.11,Brightbean
Oil - Macadamia,616.47,Yodo
Turnip - White,60.95,Centidel
Dome Lid Clear P92008h,172.62,Photobean
Piping - Bags Quizna,359.99,Kazu
Onions - Green,763.54,Kimia
"Wine - White, Colubia Cresh",477.92,Bubbletube
Cleaner - Comet,718.99,Tagtune
Cheese - Bakers Cream Cheese,735.27,Voolith
Rabbit - Legs,841.31,Kanoodle
Bar Mix - Lemon,966.06,Yodo
Coffee Cup 16oz Foam,965.34,Leenti
Pepsi - 600ml,441.32,Zoombeat
"Sauce - Gravy, Au Jus, Mix",370.5,Aimbu
Maintenance Removal Charge,489.81,Vitz
Thyme - Fresh,594.81,Jabbersphere
Icecream - Dstk Strw Chseck,226.63,Thoughtstorm
Nantucket Pine Orangebanana,730.14,Dynazzy
Milk 2% 500 Ml,617.52,Trilia
Puree - Mango,735.48,Zoombox
Arctic Char - Fillets,554.04,Yabox
Onions - Pearl,247.6,Linktype
Tea - Vanilla Chai,60.97,Thoughtmix
Rice - Wild,353.2,Trilia
Mousse - Mango,768.94,Devpulse
Potatoes - Parissienne,117.52,Rhycero
Grouper - Fresh,19.32,Shuffletag
Pepper - Cubanelle,625.65,Voomm
"Crab - Back Fin Meat, Canned",144.1,Zoombeat
Pork - Suckling Pig,566.49,Tagpad
Ice Cream Bar - Rolo Cone,406.11,Skalith
Sauce - Chili,871.25,Bubblebox
Sugar - Splenda Sweetener,570.0,Skyvu
"Sauce - Bernaise, Mix",653.62,Cogibox
"Onions - Dried, Chopped",83.67,Thoughtsphere
Bagel - 12 Grain Preslice,326.17,Oloo
Pork - Side Ribs,305.35,Riffpath
Pork Casing,846.17,Centimia
Poppy Seed,902.33,Linktype
"Basil - Primerba, Paste",472.88,Twitterwire
Chocolate Bar - Oh Henry,918.1,Teklist
Cabbage - Nappa,604.82,Realbuzz
Mace Ground,551.87,Realmix
Wine - Balbach Riverside,323.7,Zoomzone
Burger Veggie,305.61,Bubbletube
"Tomatoes - Diced, Canned",549.26,Yata
Pepper - Chilli Seeds Mild,496.06,Edgeify
Tomatoes Tear Drop,993.03,Twitterwire
Mangoes,88.49,Buzzdog
Pepperoni Slices,7.38,Muxo
Pepper - Scotch Bonnet,790.11,Wordtune
Cake Slab,248.8,Kwideo
Wine - Remy Pannier Rose,537.59,Topicblab
Long Island Ice Tea,357.66,Roombo
Croissants Thaw And Serve,308.18,Feednation
Celery,551.43,Rhynoodle
Bread - French Stick,284.2,Twitterbeat
Chinese Foods - Cantonese,694.79,Quinu
Laundry - Bag Cloth,713.29,Zoomdog
Scallops - 20/30,338.57,Aimbu
Asparagus - Mexican,266.18,Centizu
Muffin - Mix - Creme Brule 15l,637.98,Bluezoom
Orange - Blood,65.94,Browsetype
Scotch - Queen Anne,294.82,Minyx
Soup - Campbells Mushroom,113.76,Divanoodle
Juice - Ocean Spray Cranberry,343.77,Katz
Puree - Guava,617.33,Youbridge
Pie Shell - 9,779.92,Lajo
Beef - Rib Eye Aaa,335.37,Fanoodle
"Nut - Pistachio, Shelled",323.32,Myworks
"Mushroom - Shitake, Dry",282.98,Fanoodle
Shrimp - Tiger 21/25,141.75,Realcube
Bacardi Mojito,924.32,Jaxworks
Asparagus - Mexican,400.67,Topdrive
"Fish - Artic Char, Cold Smoked",376.18,Yoveo
"Asparagus - Green, Fresh",938.39,Meezzy
Cod - Fillets,912.18,Shuffledrive
Snails - Large Canned,942.53,Brainlounge
"Veal - Brisket, Provimi,bnls",219.79,Photobean
Smoked Tongue,915.31,Skaboo
"Gin - Gilbeys London, Dry",718.1,Realfire
Soup - Campbells - Tomato,861.75,Agimba
Wine - Shiraz South Eastern,377.86,Wikibox
Bread - Triangle White,961.91,Gabtune
"Pork - Tenderloin, Frozen",538.34,Skilith
Cake Slab,806.12,Fanoodle
Coffee - Egg Nog Capuccino,352.01,Voonder
Milk - Chocolate 500ml,235.37,Skajo
Milk - Chocolate 250 Ml,287.49,Mynte
Sauce - Sesame Thai Dressing,835.78,Thoughtworks
Flour - Cake,400.72,Yadel
Truffle Paste,806.92,Edgeclub
"Gingerale - Schweppes, 355 Ml",403.75,Realbuzz
Rye Special Old,336.05,Twimm
Clams - Bay,564.05,Devpoint
Cookie Dough - Chunky,872.35,Wikibox
Beer - Camerons Auburn,34.82,Gabcube
"Stock - Beef, White",806.96,Podcat
Island Oasis - Sweet And Sour Mix,484.93,BlogXS
Mushroom - Lg - Cello,651.41,Trilith
Veal - Bones,460.46,Eayo
"Wine - Red, Pinot Noir, Chateau",410.89,Riffpath
Soap - Pine Sol Floor Cleaner,477.2,Yozio
Veal - Inside,992.58,Livefish
Flavouring - Raspberry,962.19,Feedbug
Flour - Teff,963.94,Jabbertype
"Red Snapper - Fillet, Skin On",432.72,Topicware
Oil - Canola,924.5,Shuffletag
Coffee Guatemala Dark,868.09,Digitube
Daikon Radish,791.2,Gabvine
"Sauce - Black Current, Dry Mix",252.16,Yamia
Wine - Two Oceans Cabernet,317.9,Yoveo
Sausage - Blood Pudding,288.46,Topdrive
Beans - Butter Lrg Lima,532.71,Twinder
Potatoes - Mini White 3 Oz,500.26,Snaptags
Pastry - Trippleberry Muffin - Mini,773.83,Photospace
Gooseberry,46.17,Ooba
Ketchup - Tomato,824.21,Brightdog
Lamb - Shoulder,717.81,Twimbo
Appetizer - Seafood Assortment,120.2,Yadel
Instant Coffee,783.41,Skyvu
Dates,402.21,Vidoo
Chinese Foods - Chicken Wing,618.63,Meetz
Tea - Green,630.77,Nlounge
Venison - Liver,256.38,Browsecat
French Kiss Vanilla,465.06,Tekfly
Vanilla Beans,382.99,Lazzy
Cucumber - English,2.48,Dabshots
Wine - Rosso Del Veronese Igt,555.9,Twitternation
Beef - Bresaola,166.7,Skalith
Bread Fig And Almond,816.47,Yodo
Madeira,917.32,Thoughtstorm
Vinegar - Raspberry,513.57,Wikivu
Breakfast Quesadillas,733.72,Voomm
Crab - Soft Shell,85.21,Centizu
Oil - Olive,398.15,Dazzlesphere
Lotus Root,475.96,Flipstorm
Kiwano,394.16,Oyoyo
Juice - Cranberry 284ml,558.51,Avamm
Wine - Masi Valpolocell,631.85,Centizu
Oats Large Flake,571.66,Teklist
Longan,412.61,Jetwire
"Pepper - Black, Ground",513.45,Eire
Dill Weed - Dry,173.07,Oozz
Bread - Burger,407.82,Dablist
